users,movies,Movie Genre,Country ,Review
mcamin39,eXistenZ,Action|Sci-Fi|Thriller,CN,1.8
jdoyley3a,Shipwrecked (a.k.a. Haakon Haakonsen),Adventure|Children,PY,2.8
adeakan3b,Three Days of the Condor (3 Days of the Condor),Drama|Mystery|Romance|Thriller,RU,0.3
tleisman3c,Love Me Tonight,Comedy|Musical,BR,0.9
jmallia3d,I'm So Excited (Los amantes pasajeros),Comedy,CN,0.6
kgatsby3e,God’s Wedding (As Bodas de Deus),Comedy,AF,2.3
cealam3f,"Peach Thief, The (Kradetzat na praskovi)",Drama|Romance|War,GW,2.6
fbennetto3g,Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical,RU,1.3
agarfit3h,1984,Drama|Sci-Fi,ID,0.9
nbarnsdall3i,Strange Wilderness,Comedy,PH,4.8
asabey3j,"Man Who Saves the World, The (Dünyayi Kurtaran Adam)",Adventure|Sci-Fi,CN,1.4
bfettis3k,Maidens in Uniform (Mädchen in Uniform),Drama|Romance,CN,0.6
esurcomb3l,"Karate Kid, The",Action|Children|Drama,FR,1.4
tpawelke3m,Smile,Comedy,CN,0.7
mlandal3n,From the Sky Down,Documentary,VE,2.9
vcamerana3o,"Age of Innocence, The",Drama,PH,0.7
vduckham3p,"Slugger's Wife, The",Comedy|Romance,CA,3.0
adedomenico3q,"If It's Tuesday, This Must Be Belgium",Comedy|Drama,ID,2.4
lseys3r,I Shot Jesse James,Drama|Romance|Western,CN,4.5
sray3s,"Deer Hunter, The",Drama|War,IR,3.2
sgoadsby3t,Blood: The Last Vampire,Action|Horror|Thriller,US,4.2
klefeuvre3u,Monkeybone,Animation|Comedy|Fantasy,MY,0.4
cweond3v,Igor,Animation|Comedy,AL,0.3
khellmore3w,"Thin Man Goes Home, The",Comedy|Crime|Mystery,ID,1.2
sorleton3x,Intruder in the Dust,Drama,PH,3.6
llindner3y,Day of the Wacko (Dzien swira),Comedy|Drama,PH,1.7
ocornils3z,"Ear, The (Ucho)",Drama|Thriller,PH,3.9
jbrasse40,"Sound of Music, The",Musical|Romance,SE,0.5
mzannini41,Accomplices (Complices),Crime|Mystery,CN,0.3
ssarton42,The Chase,Crime|Drama|Thriller,JP,0.8
kridding43,"Crow: City of Angels, The",Action|Thriller,RU,1.1
amcmanus44,Ego,Drama,TH,0.3
sakeherst45,"Last Wedding, The (Kivenpyörittäjän kylä)",Comedy|Drama,ID,0.6
clindenman46,Deception,Action|Drama|Thriller,JP,4.5
cgummow47,Alien Nation,Crime|Drama|Sci-Fi|Thriller,IT,2.9
udallan48,Cold Fever (Á köldum klaka),Comedy|Drama,NG,4.7
hsturdgess49,The Lumière Brothers' First Films,Documentary,AZ,2.2
bdelacote4a,Beautiful,Drama|Thriller,PH,1.5
bmallen4b,"Woman Always Pays, The (Afgrunden) (Abyss, The)",Drama,TF,3.2
ldallas4c,Cure,Crime|Horror|Thriller,PH,3.6
dveldman4d,Tuareg: The Desert Warrior (Tuareg - Il guerriero del deserto),Action|Adventure,ID,1.4
cnewbery4e,Detective (Détective),Crime|Drama,CO,4.4
esheed4f,"Italian Straw Hat, The (Un chapeau de paille d'Italie)",Comedy,MX,0.8
lpickthorn4g,Barabbas,Adventure|Drama,CR,1.8
icoleridge4h,It Came from Outer Space,Sci-Fi,BR,2.0
smenauteau4i,Cass Timberlane,Drama|Romance,CN,4.5
yiveans4j,Tough Enough (Knallhart),Crime|Drama,CA,2.7
iolligan4k,Beyond Hypothermia (Sip si 32 doe),Action|Drama|Thriller,CN,0.1
tmonier4l,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,CZ,2.6
npatterfield4m,"Cabin in the Woods, The",Comedy|Horror|Sci-Fi|Thriller,TH,0.6
reuler4n,The Cheat,Drama,US,1.6
mheaps4o,"Hustler, The",Drama,CM,2.1
rabsolon4p,"Strada, La",Drama,ID,2.4
bmasserel4q,Preston Sturges: The Rise and Fall of an American Dreamer,Documentary,CN,2.6
emanthorpe4r,Gambit,Comedy|Crime,GT,4.4
lhentze4s,Best of the Best,Action,GR,3.2
barman4t,The Borderlands,Horror|Mystery,HR,4.4
shuntly4u,No Way Home,Drama,FR,4.1
ebauldrey4v,Pete 'n' Tillie,Comedy|Drama,PL,0.1
cnottram4w,Follow Me Quietly,Crime|Drama|Film-Noir|Mystery,CI,2.4
dhaensel4x,"Devils, The",Drama,IL,2.7
mroo4y,Hollow Point,Action|Comedy|Thriller,NG,0.8
plackington4z,"Year My Parents Went on Vacation, The (O Ano em Que Meus Pais Saíram de Férias)",Drama,TR,0.8
bbartalini50,When the Cat's Away (Chacun cherche son chat),Comedy|Romance,ZA,1.4
msyres51,The Fat Albert Halloween Special,Animation,ID,2.0
gculleford52,Muppets From Space,Children|Comedy,PL,0.2
twilstead53,"Woman in Black, The",Drama|Horror|Thriller,ID,4.6
ngiordano54,"Ketchup Effect, The (Hip Hip Hora!)",Drama,GR,2.3
tchamberlain55,"Swinger, The",Comedy,ID,3.4
mthorrold56,Life Is Sweet,Comedy|Drama,CN,3.1
jwarsop57,"River Why, The",Drama,ID,4.2
lsanpher58,"Christine Jorgensen Story, The",Drama,PY,1.9
rgault59,Thale,Action|Drama|Horror|Mystery,ID,2.8
evedyasov5a,Endless Love,Drama|Romance,CZ,3.3
mfleckno5b,"Simple Life, A (Tao jie)",Drama,ZA,0.4
bangear5c,Chasing Sleep,Horror|Thriller,GR,1.0
hlicari5d,Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo),Action|Animation|Sci-Fi,CN,3.7
jpead5e,"Man, Woman and the Wall (Kikareta onna no mirareta yoru)",Drama|Romance|Thriller,PL,1.0
gbisley5f,"Mask, The",Action|Comedy|Crime|Fantasy,BR,4.9
dyaakov5g,"Greatest Show on Earth, The",Drama,IE,3.2
nbrendeke5h,Voices of Iraq,Documentary,RU,1.8
mbierton5i,Dragon Hunters (Chasseurs de dragons),Adventure|Animation|Children,CN,3.9
cfiddian5j,"See You Tomorrow, Everyone",Drama,US,0.1
roswell5k,Happy People: A Year in the Taiga,Documentary,BL,3.3
lkleinberer5l,"Night, The (Notte, La)",Drama,ID,0.6
vgebb5m,It's Kind of a Funny Story,Comedy|Drama,GH,4.8
cderobert5n,The Tattooist,Horror|Thriller,PL,3.2
gschwand5o,Victim,Horror|Thriller,NL,1.1
sscogin5p,"Buddy Holly Story, The",Drama,CN,3.5
eemanulsson5q,"Battle of China, The (Why We Fight, 6)",Documentary|War,SE,4.7
tzannolli5r,New Town Killers,Drama,CN,2.7
lwhilder5s,Private Benjamin,Comedy,SE,1.1
tsyce5t,Doomsday Prophecy,Action|Sci-Fi|Thriller,BR,2.5
ihardstaff5u,Godzilla: Tokyo S.O.S. (Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.),Action|Fantasy|Sci-Fi,PH,0.9
fcreaser5v,Children of the Corn: Genesis,Horror|Thriller,NP,3.7
sspalls5w,"Klansman, The",Action|Drama|Thriller,ET,0.3
aenion5x,Hotel Pacific (Zaklete rewiry),Drama,BR,2.0
tjanous5y,"Pledge, The",Crime|Drama|Mystery|Thriller,ID,1.1
rworrall5z,Homework,(no genres listed),FR,4.6
ddosdale60,Battleground,Action|Drama|War,CA,4.8
bdowthwaite61,Crumb,Documentary,GW,2.6
ctovey62,"Little Romance, A",Comedy|Romance,CN,3.4
mstanger63,"Man Who Wasn't There, The",Crime|Drama,AR,0.6
milyinykh64,Jim Jefferies: Alcoholocaust,Comedy,GR,4.1
wslucock65,ATF ,Drama|Thriller,MK,1.1
lanfusso66,Third Person,Drama|Romance,NP,3.8
ntytherton67,Mr. Nanny,Action|Children|Comedy,CN,0.9
tsnodin68,"Slams, The",Action|Drama,LV,2.0
tleblond69,"Diary of Anne Frank, The",Drama|War,MK,2.3
icarles6a,Caltiki the Undying Monster,Adventure|Horror|Sci-Fi|Thriller,AZ,2.9
pmattinson6b,Harry Potter and the Deathly Hallows: Part 2,Action|Adventure|Drama|Fantasy|Mystery|IMAX,MN,0.8
rjohn6c,Rio Grande,Romance|Western,CN,2.6
uselvester6d,Short Sharp Shock (Kurz und schmerzlos) ,Crime|Drama,GH,3.3
athonger6e,Shriek If You Know What I Did Last Friday the Thirteenth,Comedy|Horror,ID,3.6
jscoterbosh6f,Not My Type,Comedy|Romance,LV,3.3
bdarree6g,Shanghai Calling,Comedy|Drama|Romance,PH,2.7
akingh6h,New Kids Turbo,Action|Comedy,ID,3.4
vadcock6i,Winnie the Pooh and the Honey Tree,Animation|Children,FR,3.9
lickovits6j,Seal Team Eight: Behind Enemy Lines,Action|Drama|War,FI,4.9
nriccio6k,Rambling Rose,Drama,CN,0.8
mpessel6l,Rusty Knife (Sabita naifu),Action|Crime,ID,3.7
dcritch6m,Time of Eve (Eve no jikan),Animation|Romance|Sci-Fi,RU,0.1
nsallan6n,Donner Pass,Horror,GR,4.3
fmccorrie6o,Barbarian Queen,Action|Adventure|Fantasy,CN,3.1
akeveren6p,House of Strangers,Drama|Film-Noir,BY,1.9
acuddehy6q,"3 Penny Opera, The (Threepenny Opera, The) (3 Groschen-Oper, Die)",Crime|Musical,FR,2.7
sweymouth6r,"Baron of Arizona, The",Drama|Romance|Western,NF,4.9
rsewley6s,"Thousand Words, A",Comedy|Drama,PL,1.5
jblissett6t,27 Missing Kisses,Comedy|Drama|Romance,MX,2.1
lgynne6u,Fear X,Mystery|Thriller,LK,2.7
tavramovic6v,"Unsuspected, The",Drama|Film-Noir|Thriller,UA,1.1
fclavering6w,Charlie's Angels: Full Throttle,Action|Adventure|Comedy|Crime|Thriller,CN,3.8
djeffels6x,Constantine's Sword,Documentary,PL,4.5
tchalkly6y,"Wash, The",Comedy,BG,4.9
springuer6z,"Mother and the Whore, The (Maman et la putain, La)",Drama,AR,4.3
mhemeret70,Bachelorette,Comedy,CN,0.1
mastbury71,Evil Dead II (Dead by Dawn),Action|Comedy|Fantasy|Horror,CO,4.2
hzini72,"Better Tomorrow III: Love and Death in Saigon, A",Action|Thriller|War,CO,0.9
oguymer73,Bad Ass,Action|Crime|Drama,CN,1.2
cbobasch74,Kevin Nealon: Now Hear Me Out!,Comedy,MX,4.1
abuttel75,"Happening, The",Drama|Sci-Fi|Thriller,DE,0.3
badrienne76,Happy,Documentary|Drama,PK,0.8
cconan77,Dr. Jack,Comedy,ID,3.1
tyoakley78,After Office Hours,Comedy|Crime|Drama,ML,3.4
avarren79,"Naked Jungle, The",Adventure|Drama,LB,4.4
vdailly7a,Downloaded,Documentary,ES,2.9
adofty7b,"Silencers, The",Action|Comedy,BG,1.4
alindenbluth7c,Paper Lion,Comedy,NO,3.1
ctorrijos7d,In the Shadow of the Moon,Documentary,BR,1.8
bheminsley7e,"Return of the Musketeers, The",Adventure|Comedy,FR,4.1
sscallan7f,Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,CN,3.2
dsubhan7g,Great Day in the Morning,Western,CN,3.6
bcoye7h,"Princess for Christmas, A",Children|Comedy,CN,2.6
ccrangle7i,Madison Avenue,Drama,MR,1.0
cflarity7j,Bel Ami,Drama|Romance,GT,1.3
moldall7k,The Last Outpost,Western,IL,0.4
ttownshend7l,I Am,Documentary,CN,2.9
dfear7m,"Awful Truth, The",Comedy|Romance,PH,0.5
hobbard7n,When Eight Bells Toll,Action|Adventure|Crime|Mystery,SE,0.3
cdabbotdoyle7o,Why Do Fools Fall In Love?,Drama,PT,4.6
fmolan7p,Maverick,Adventure|Comedy|Western,IE,2.5
egolton7q,"Take, The",Crime|Drama,PT,3.3
ditzkov7r,Zenith,Sci-Fi|Thriller,CN,4.6
rberrey7s,The Odyssey,Adventure|Drama|Fantasy,US,3.6
skeddle7t,Forget Baghdad: Jews and Arabs - The Iraqi Connection,Documentary,IT,2.4
rtelford7u,"Temptations, The",Drama|Musical,US,0.9
sburtonwood7v,"Thousand Words, A",Comedy|Drama,PS,1.0
hwyeld7w,Broken Lance,Drama|Romance|Western,GT,0.7
clanktree7x,48 Hrs.,Action|Comedy|Crime|Drama,CN,0.4
calp7y,Flower Drum Song,Comedy|Musical|Romance,ID,0.8
tmcgreary7z,"Four Musketeers, The",Action|Adventure|Comedy|Romance,CN,2.1
bgaitung80,Bachelor in Paradise,Comedy|Romance,CZ,1.9
vehrat81,Unrest,Horror|Thriller,CN,3.6
larrell82,When Ladies Meet,Comedy|Drama|Romance,PH,1.3
hplank83,Shadows of a Hot Summer (Stíny horkého léta),Drama|Thriller,PL,5.0
shawes84,Road to Utopia,Comedy,PL,1.2
iclearley85,Crime Busters,Action|Adventure|Comedy|Crime,TH,1.3
gheal86,"Beaches of Agnes, The (Plages d'Agnès, Les)",Documentary,NO,3.1
fpoulsen87,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",Comedy|Documentary,PE,0.0
fminget88,In Love and War,Romance|War,BH,3.3
adudenie89,Return to Oz,Adventure|Children|Fantasy,PT,3.5
calibone8a,Monsieur Lazhar,Children|Comedy|Drama,PH,4.3
lpeplaw8b,Tumbleweeds,Drama,FI,0.8
ecoad8c,Basket Case 3: The Progeny,Comedy|Horror,ID,4.2
ipashba8d,Sunset Park,Drama,FR,2.5
npaulet8e,Problem Child,Children|Comedy,ID,0.6
rkingscote8f,"Slender Thread, The",Drama,CN,2.1
sstratz8g,Open Water 2: Adrift,Drama|Thriller,PH,4.9
cmcward8h,The Amazing Dr. Clitterhouse,Crime|Drama|Film-Noir,BR,4.8
thandlin8i,"Three Faces of Eve, The",Drama,TZ,2.4
nlockhead8j,Defenseless,Thriller,RS,1.8
fwrench8k,"Lady in Number 6: Music Saved My Life, The",Documentary|Drama,IE,4.6
ntomek8l,Let's Scare Jessica to Death,Horror|Mystery,ID,2.3
scastaignet8m,Morning Glory,Comedy|Drama|Romance,CN,4.1
wrenny8n,Lianna,Drama|Romance,PH,4.2
tbrumbie8o,Breaking the Waves,Drama|Mystery,ID,0.5
tivashov8p,Mockingbird Don't Sing,Drama,ZW,0.3
jblight8q,Dark and Stormy Night,Comedy|Mystery,CN,1.3
dturney8r,Captain Phillips,Adventure|Drama|Thriller|IMAX,BO,3.3
olewis8s,Hecho en México,Documentary|Musical,SE,0.4
lpampling8t,Bis zum Ellenbogen,Comedy,RU,3.3
hdivisek8u,BFFs,Comedy,BR,3.0
ktrousdell8v,Biggles,Adventure|Fantasy|Sci-Fi,AM,2.9
hgomes8w,Culloden (The Battle of Culloden),Documentary|Drama|War,PL,2.4
cfawcett8x,"Mummy, The",Action|Adventure|Comedy|Fantasy|Horror|Thriller,JP,3.8
cfarnorth8y,"Looney, Looney, Looney Bugs Bunny Movie, The",Animation|Children|Comedy,BR,3.3
teul8z,Tarzan Escapes,Action|Adventure,BR,3.0
obrogioni90,Every Which Way But Loose,Comedy,ID,2.9
kbatson91,Something the Lord Made,Drama,CN,0.6
bradbourn92,"Contractor, The",Action|Drama|Thriller,MA,0.9
blias93,Where East Is East,Drama,US,3.2
dlivock94,Out of the Blue (Aramoana),Crime|Drama,US,3.3
mrookwell95,Be with Me,Drama|Romance,ID,2.8
whebbard96,Major League II,Comedy,RU,4.0
smatchett97,"Walk, Don't Run",Comedy|Romance,CN,3.5
hroebottom98,Planet of the Apes,Action|Adventure|Drama|Sci-Fi,CN,2.5
acromblehome99,My Louisiana Sky,Drama,ID,1.3
jbeedell9a,"Kings of Summer, The",Comedy,RU,4.2
locullen9b,Budrus,Documentary,MK,2.2
fhemeret9c,Marilyn Hotchkiss' Ballroom Dancing & Charm School,Comedy|Drama|Romance,GR,1.1
aletson9d,Inside Man,Crime|Drama|Thriller,FR,1.8
tjozefiak9e,Germany Pale Mother,Drama|War,IE,3.0
tbrisco9f,Outland,Action|Sci-Fi|Thriller,RU,4.4
cattril9g,"Little Foxes, The",Drama,FR,3.5
drawlins9h,Coneheads,Comedy|Sci-Fi,UA,2.7
nfeatherstonhaugh9i,"Goebbels Experiment, The (Das Goebbels Experiment)",Documentary,SI,1.9
mivery9j,"Dinner Game, The (Dîner de cons, Le)",Comedy,CN,1.4
ccatherall9k,All the Pretty Horses,Drama|Romance|Western,GR,3.7
cskaid9l,Trouble Bound,Action|Comedy,TH,2.1
dpenrose9m,Torn,Drama,CN,1.7
bbridge9n,"Fall of the House of Usher, The (Zánik domu Usheru)",Animation,CN,0.3
obilby9o,"Who Are you Polly Maggoo (Qui êtes-vous, Polly Maggoo?)",Comedy,PH,3.0
mcorradetti9p,By the Sword,Drama,RU,2.5
mjacke9q,Bagdad Cafe (Out of Rosenheim),Comedy|Drama,PS,4.9
dhillaby9r,Duck Soup,Comedy|Musical|War,CZ,2.9
ehearne9s,Britannia Hospital,Comedy|Drama,CN,2.7
rclaw9t,Truth in 24,Documentary,CA,3.1
jmanuelli9u,"Love God?, The",Comedy,CN,0.2
opimblotte9v,Wild China,Documentary,PT,1.2
mmahon9w,"Stratton Story, The",Drama|Romance,IS,1.9
steacy9x,Under the Domim Tree (Etz Hadomim Tafus),Drama,BG,1.6
aneward9y,October Sky,Drama,PL,1.3
erodd9z,Will Ferrell: You're Welcome America - A Final Night with George W Bush,Comedy,MN,0.3
sknivetona0,Lay the Favorite,Comedy,ID,3.1
pbrabbana1,Fill the Void (Lemale et ha'halal),Drama,PL,1.1
sstrelitzera2,Pure One (Pakeezah),Drama|Musical|Romance,CN,3.7
epetegrea3,Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye),Action,FR,1.7
abreffita4,Lovers and Other Strangers,Comedy,JP,3.6
sgillana5,Welcome to the Space Show (Uchû shô e yôkoso),Adventure|Animation|Sci-Fi,ER,1.9
mperonea6,Olympia Part One: Festival of the Nations (Olympia 1. Teil - Fest der Völker),Documentary,UA,0.4
bbacklera7,"Clay Bird, The (Matir moina)",Drama,CZ,2.2
gshutlera8,Chicago 10,Animation|Documentary,CN,3.4
mdipietroa9,Lymelife,Comedy|Drama,PL,0.2
asolanaa,Grim Reaper,Horror,ID,1.0
lmothab,Particle Fever,Documentary,CN,2.6
eyushkovac,"To Have, or Not (En avoir (ou pas))",Drama,PH,0.5
ggarshoread,Rocket Science,Comedy|Drama,BA,4.4
lcortinae,"Same Love, Same Rain (El mismo amor, la misma lluvia)",Comedy|Drama|Romance,ID,3.3
tfiveashaf,"Sum of All Fears, The",Drama|Thriller,CA,4.8
lmillyardag,Mamma Mia!,Comedy|Musical|Romance,IE,4.9
mbassonah,American Wedding (American Pie 3),Comedy,GR,2.0
ddinehartai,Possessed,Drama|Film-Noir,AF,3.4
ssiaspinskiaj,Rampo (a.k.a. The Mystery of Rampo),Drama|Mystery,FR,1.8
pbouskillak,"Emperor Waltz, The",Comedy|Musical|Romance,CN,4.0
bosheeal,Today You Die,Action|Crime,ID,0.7
celverstoneam,Pirates,Adventure|Comedy,ID,4.4
zjosephsan,My Favorite Martian,Comedy|Sci-Fi,CN,2.8
jdelacoteao,The Cyclone,Comedy|Romance,GW,1.2
kiveap,"China Syndrome, The",Drama|Thriller,CN,1.3
kmcowisaq,The Retrieval,Drama|Western,FR,1.8
hpallisterar,It's a Wonderful Afterlife,Comedy|Drama|Horror|Romance,BA,2.0
ncolbornas,Whoopee!,Comedy|Musical,UA,2.6
nritchleyat,"Sign of Leo, The (Signe du lion, Le)",Drama,ID,1.6
swoodhallau,"Bête humaine, La",Drama,TZ,4.3
jheughav,"Silence, The (Das letzte Schweigen)",Crime|Drama|Thriller,CN,0.2
dbrattyaw,Stand by Me Doraemon,Animation|Children|Drama|Fantasy,BA,4.5
avanderkruisax,Amongst Friends,Crime|Drama,PL,3.0
ilouday,"Kids Are All Right, The",Comedy|Drama,MA,2.9
kjudsonaz,Time Bandits,Adventure|Comedy|Fantasy|Sci-Fi,SE,3.8
dpeterkinb0,Conversations with My Gardener (Dialogue avec mon jardinier),Comedy|Drama,CN,1.4
